warehouse_code,item_code,sales_days,input_cd
10,112886,86,112886
10,112887,55,112887
10,112956,99,112956
10,112957,32,
10,112961,12,
10,112996,11,
10,113089,37,
10,113097,14,
10,113099,13,113099
10,113107,12,
10,113200,7,
10,113211,14,
10,113213,6,
10,113241,18,
10,113303,12,113303
10,113366,8,
10,113373,9,
10,113379,15,
10,113395,11,
10,113438,15,
10,113462,6,
10,113473,8,
10,113520,37,
10,113581,8,
10,113625,27,
10,113707,39,
10,113714,48,
10,113755,89,
10,113827,34,
10,113835,6,
10,113878,68,
10,113884,51,113884
10,113929,15,
10,113964,13,
10,114005,27,
10,114018,149,114018
10,114049,62,
10,114051,6,114051
10,114053,28,
10,114058,17,
10,114063,30,
10,114064,38,
10,114076,35,
10,114078,106,114078
10,114083,13,
10,114089,13,
10,114091,13,
10,114096,28,
10,114117,37,
10,114126,69,
10,114127,34,
10,114131,63,
10,114132,55,
10,114134,15,
10,114139,21,
10,114168,21,
10,114170,50,
10,114171,59,
10,114189,52,
10,114228,8,
10,114243,32,
10,115003,47,
10,115013,174,115013
10,115014,40,115014
10,116001,20,
10,116005,41,116005
10,116013,51,
10,116015,32,116015
10,116016,15,116016
10,116019,31,
10,116034,30,
10,117010,48,117010
10,117016,45,117016
10,118142,26,
10,118146,10,
10,118485,10,
10,118627,16,
10,118628,14,
10,119066,34,
10,119067,49,
10,119068,35,
10,119069,43,119069
10,119290,39,
10,119315,8,
10,119316,7,
10,119334,71,119334
10,119335,65,119335
10,119358,9,
10,119422,21,119422
10,119469,24,
10,119472,25,
10,119525,18,
10,119548,8,
10,119615,62,
10,119616,43,
10,119685,33,
10,121006,63,121006
10,121037,25,121037
10,121045,12,
10,121047,32,
10,121060,26,121060
10,121069,9,
10,121085,93,
10,121091,31,121091
10,121093,8,
10,121123,43,
10,121163,39,
10,121164,104,121164
10,121169,42,
10,121203,30,121203
10,122007,29,
10,122009,17,
10,122018,75,122018
10,122049,87,122049
10,122050,91,122050
10,122051,85,122051
10,122058,138,122058
10,122059,114,122059
10,122068,8,
10,122074,6,
10,122087,44,
10,122093,39,
10,122094,49,122094
10,122100,87,122100
10,122101,17,
10,122130,19,
10,122140,26,122140
10,122141,29,122141
10,122142,15,
10,122146,104,122146
10,122158,19,122158
10,122160,47,122160
10,122164,68,122164
10,122171,22,
10,122215,29,
10,122277,11,
10,122279,177,122279
10,122280,113,
10,122343,43,
10,122346,9,122346
10,122355,30,122355
10,122364,15,122364
10,122374,66,
10,122413,64,122413
10,122434,16,
10,122442,134,122442
10,122445,25,
10,122446,118,122446
10,122450,18,122450
10,122461,15,122461
10,122470,17,122470
10,122481,6,
10,122485,11,
10,122507,29,
10,122523,18,122523
10,122526,53,122526
10,122562,11,
10,122569,29,
10,122578,27,122578
10,122585,81,122585
10,122599,10,
10,122600,17,
10,122601,27,
10,122602,19,
10,122646,180,122646
10,122740,7,122740
10,122758,15,
10,122768,8,
10,122784,21,122784
10,122857,34,122857
10,122874,9,122874
10,122884,17,
10,122911,11,122911
10,122943,13,
10,122944,82,
10,122974,9,
10,122984,7,
10,122998,151,122998
10,123063,27,
10,123070,18,123070
10,123071,32,
10,123074,17,123074
10,123110,139,123110
10,123115,6,
10,123128,7,
10,123159,19,
10,123161,44,
10,123162,24,
10,123170,48,123170
10,123190,9,
10,123238,6,
10,123247,81,
10,123252,18,123252
10,123263,26,
10,123281,42,123281
10,123285,18,
10,123322,12,123322
10,123344,7,
10,123370,28,
10,123387,8,123387
10,123400,131,123400
10,123434,29,123434
10,123490,15,
10,123527,10,
10,123544,9,
10,123565,8,
10,123571,56,
10,123573,50,123573
10,123574,58,
10,123642,29,123642
10,123643,48,123643
10,123644,36,
10,123646,10,
10,123661,18,
10,123720,12,123720
10,123737,28,
10,123828,40,
10,123943,43,
10,123947,11,
10,129002,168,129002
10,129007,39,
10,129009,58,
10,129012,114,129012
10,129014,117,
10,129019,9,
10,129022,17,
10,131005,7,
10,131026,26,131026
10,131039,12,131039
10,131051,25,
10,131063,16,
10,131073,18,
10,131074,27,
10,131079,22,131079
10,131084,83,
10,131133,69,131133
10,131137,53,
10,131145,94,131145
10,131148,16,
10,131194,121,131194
10,131196,174,131196
10,131197,141,131197
10,131252,96,131252
10,131253,14,
10,131281,69,131281
10,131302,40,131302
10,131324,47,131324
10,131330,94,131330
10,131340,34,
10,131352,42,
10,131387,8,
10,131426,7,
10,131464,77,
10,131489,46,131489
10,131524,66,
10,132003,95,132003
10,132004,6,132004
10,132013,20,
10,132017,66,132017
10,132049,56,
10,132106,34,132106
10,132119,52,132119
10,132147,43,132147
10,132164,7,132164
10,132210,12,
10,132217,8,
10,132245,15,
10,132266,18,132266
10,132277,16,
10,132288,30,132288
10,132361,13,
10,132366,33,132366
10,132390,52,
10,132391,64,
10,132437,43,132437
10,132438,36,
10,132439,38,
10,132493,42,
10,132494,23,132494
10,132497,14,132497
10,132500,17,
10,132566,12,
