status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
match,91,149058,　ライオン・スタウト３３０ｍｌ,W06203,W06203,W06203,1,37,37,149058000:W06203:0:1202:37
match,91,149097,　モレッティ　瓶　３３０ｍｌ,R01203,R01203,R01203,1,58,58,149097000:R01203:0:1002:58|149097900:R01203:::58
match,91,149100,　レッドストライプ　瓶３３０ｍｌ,W06302,W06302,W06302,1,6,6,149100000:W06302:0:1202:6
match,91,149102,　カールスバーグ　クラブボトル　３３０ｍｌ,W06206,W06206,W06206,1,25,24,149102000:W06206:0:1021:26|149102900::::26
match,91,149116,　ピルスナーウルケル１５Ｌ樽,AG30PU,AG30PU,AG30PU,3,1,1,149116000:AG30PU:0:1021:3
match,91,149137,　ビンタン　ビール３３０ｍｌ,W06204,W06204,W06204,1,13,13,149137000:W06204:0:1202:13
match,91,149166,　タイガービール３３０ｍｌ,W06311,W06311,W06311,1,22,22,149166000:W06311:0:1202:22
match,91,149190,　ＡＢインベブヒューガルデン　ホワイト　缶３３０ｍｌ,F06300,F06300,F06300,1,48,48,149190000:F06300:0:1202:72|149190100:F06300:::72|149190200:F06300:::72|149190900:F06300:::72
match,91,149193,　シェッファーホッファー３３０ｍｌ,W06306,W06306,W06306,1,17,17,149193000:W06306:0:1782:17
match,91,149194,　エストレージャ・ダム３３０ｍｌ,W06205,W06205,W06205,1,16,16,149194000:W06205:0:1782:20
match,91,149239,　ＡＢインベブ　バドワイザー　瓶３３０ｍｌ,E01103,E01103,E01103,3,141,141,149239000:E01103:0:1202:130|149239100:E01103:::130|149239900:E01103:::130
match,91,149666,　ＡＢインベブ　ステラ　アルトワ３１０ｍｌ,W06208,W06208,W06208,1,11,11,149666000:W06208:0:1202:21
match,91,149695,　ブルームーン　瓶３３０ｍｌ,W06201,W06201,W06201,1,6,6,149695000:W06201:0:1021:6|149695100:W06201:::6
match,91,149982,　ＡＢインベブ　コロナ　エキストラ　瓶３３０ｍｌ,E03102,E03102,E03102,4,325,323,149982000:E03102:0:1202:170|149982100:E03102:::170|149982900:E03102:::170
match,91,151017,　ニッカ　アップルワイン　７２０ｍｌ,F01312,F01312,F01312,1,2,2,151017000:F01312:0:1021:2
match,91,151029,　勝沼醸造　甲州　祝　７５０ｍｌ,I03507,I03507,I03507,1,2,2,151029000:I03507:0:1138:2
match,91,151030,　サントリー　赤玉スイートワイン　赤紙パック１．８Ｌ,E10203,E10203,E10203,1,8,8,151030000:E10203:0:1021:8
match,91,151037,　サントネージュ　梅ワイン　３００ｍｌ,B10302,B10302,B10302,1,12,12,151037000:B10302:0:1021:0
match,91,151076,　サントネージュ　やわらぎ赤３００ｍｌ,E02304,E02304,E02304,1,39,39,151076000:E02304:0:1021:39
match,91,151077,　サントネージュ　やわらぎ白３００ｍｌ,E02305,E02305,E02305,1,33,33,151077000:E02305:0:1021:33
match,91,151078,　サントネージュ　梅ワイン　１８０ｍｌ,C05202,C05202,C05202,1,143,143,151078000:C05202:0:1021:144
match,91,151117,　マンズエコノミー　白　ハンディペット１．８Ｌ,I00000,I00000,I00000,1,9,9,151117000:I00000:0:1202:11
match,91,151129,　メルシャン　赤ぐびっ葡萄酒１Ｌ,H06411,H06411,H06411,1,8,8,151129000:H06411:0:1330:8
match,91,151133,　シャトー酒折　甲州ドライ　７５０ｍｌ,I07202,I07202,I07202,1,7,7,151133000:I07202:0:1545:7
match,91,151146,　シャトーメルシャン　アンサンブル　萌黄　７５０ｍｌ,I07416,I07416,I07416,1,3,3,151146000:I07416:0:1330:3
match,91,151147,　シャトーメルシャン　山梨マスカットベーリーＡ　７５０ｍｌ,I05116,I05116,I05116,1,3,3,151147000:I05116:0:1330:3
match,91,151148,　シャトー　ルミエール　赤　７５０ｍｌ,I06411,I06411,I06411,1,7,7,151148000:I06411:0:1502:7
match,91,151158,　メルシャン　ボンルージュ　ボックス　１８００,H05306,H05306,H05306,1,4,4,151158000:H05306:0:1330:4
match,91,151213,　サントリー　酸化防止剤無添加　美味しいワイン赤１．８Ｌ,E08207,E08207,E08207,1,6,6,151213000:E08207:0:1021:7
match,91,151237,　アルプス　ミュゼドヴァン　善光寺竜眼　７５０ｍｌ,I06409,I06409,I06409,1,3,3,151237000:I06409:0:1202:3
match,91,151248,　メルシャン　無添加ペットボトル　白　１．５Ｌ,E08105,E08105,E08105,1,8,8,151248000:E08105:0:1330:9
match,91,151250,　メルシャン　ボンマルシェ　赤　１８０ｍｌ,E02302,E02302,E02302,1,50,50,151250000:E02302:0:1330:50
match,91,151251,　メルシャン　ボンマルシェ　白　１８０ｍｌ,E02303,E02303,E02303,1,28,28,151251000:E02303:0:1330:28
match,91,151348,　グランポレール　エスプリドヴァン　ジャポネ泉　７２０ｍｌ,I05211,I05211,I05211,1,6,6,151348000:I05211:0:1202:6
match,91,151362,　サントリー　酸化防止剤無添加　美味しいワイン　白　１．８Ｌ,E09204,E09204,E09204,1,5,5,151362000:E09204:0:1021:5
match,91,151375,　白山ワイン　ｄａｎｄａｎ　ルージュ　７５０ｍｌ,Q00000,Q00000,Q00000,1,40,40,151375000:Q00000:0:1021:40
match,91,151376,　白山ワイン　ｄａｎｄａｎ　ルージュ　３６０ｍｌ,I05511,I05511,I05511,1,20,20,151376000:I05511:0:1021:10
match,91,151379,　白山ワイン　ｄａｎｄａｎ　ブラン　３６０ｍｌ,I05305,I05305,I05305,1,8,8,151379000:I05305:0:1021:20
match,91,151381,　白山ワイン　ｄａｎｄａｎ　ロゼ　７５０ｍｌ,Q00000,Q00000,Q00000,1,12,12,151381000:Q00000:0:1021:18
