lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
50035,50478,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,ACTIVE,1848,24,,,10,232,AP202D,single_oracle_shelf,AP202D,184256000:AP202D:0:1202:3933|184256900:AP202D:::3933,skipped,already_matches,,,0,,0,0,0
38696,38959,145018,145018,　キリン　淡麗プラチナダブル５００ｍｌ,ACTIVE,1776,0,,,10,446,AJ102K,single_oracle_shelf,AJ102K,145018000:AJ102K:0:1330:2880|145018100:AJ102K:::2880|145018900:AJ102K:::2880,skipped,already_matches,,,0,,0,0,0
37148,37395,143007,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ,ACTIVE,1746,2,,,10,449,AJ105K,single_oracle_shelf,AJ105K,143007000:AJ105K:0:1330:2760|143007100:AJ105K:::2760|143007900:AJ105K:::2760|143007901:AJ105K::1330:2760,skipped,already_matches,,,0,,0,0,0
51301,35626,142102,142102,　アサヒ　アサヒ　生ビール３５０ｍｌ,ACTIVE,1728,0,88,2071,10,466,AM102A,single_oracle_shelf,AM102A,142102000:AM102A:0:1021:1416|142102100:AM102A:::1416|142102900:AM102A:::1416,skipped,already_matches,,,0,,0,0,0
51272,35629,142404,142404,　サントリー　パーフェクトサントリービール３５０ｍｌ,ACTIVE,1728,0,78,1990,10,431,AH30PS,single_oracle_shelf,AH30PS,142404000:AH30PS:0:1021:1416|142404100:AH30PS:::1416|142404200:AH30PS:::1416|142404900:AH30PS:::1416,skipped,already_matches,,,0,,0,0,0
53589,37394,143005,143005,◎キリンラガー３５０ｍｌ,ACTIVE,1728,0,512,27001,10,428,AH30KR,single_oracle_shelf,AH30KR,143005000:AH30KR:0:1330:2826|143005100:AH30KR:::2826|143005200:AH30KR:::2826|143005900:AH30KR:::2826|143005901:AH30KR::1330:2826,skipped,already_matches,,,0,,0,0,0
51299,38963,145060,145060,　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ,ACTIVE,1728,0,88,2069,10,435,AH30TZ,single_oracle_shelf,AH30TZ,145060000:AH30TZ:0:1021:4944|145060100:AH30TZ:::4944|145060900:AH30TZ:::4944,skipped,already_matches,,,0,,0,0,0
51038,40584,147213,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ,ACTIVE,1728,0,4,569,10,430,AH30NZ,single_oracle_shelf,AH30NZ,147213000:AH30NZ:0:1330:4080|147213100:AH30NZ:::4080|147213900:AH30NZ:::4080,skipped,already_matches,,,0,,0,0,0
51270,40586,147271,147271,　サントリー　金麦　ザ・ラガー３５０ｍｌ,ACTIVE,1728,0,78,1988,10,442,AI301U,single_oracle_shelf,AI301U,147271000:AI301U:0:1021:3096|147271100:AI301U:::3096|147271800:AI301U:::3096|147271900:AI301U:::3096,skipped,already_matches,,,0,,0,0,0
53594,21765,184658,184658,　キリン　氷結　レモン３５０ｍｌ,ACTIVE,1728,0,512,27006,10,214,AP201R,single_oracle_shelf,AP201R,184658000:AP201R:0:1330:1145|184658100:AP201R:::1145|184658200:AP201R:::1145|184658900:AP201R:::1145|184658901:AP201R:::1145,skipped,already_matches,,,0,,0,0,0
53601,31650,211645,211645,　神戸居留地　ソーダ１９０ｍｌ,ACTIVE,1710,0,514,27018,11,2537,R08101,single_oracle_shelf,R08101,211645000:R08101:0:1164:1002|211645900::::1002,skipped,already_matches,,,0,,0,0,0
51300,40578,147043,147043,　アサヒ　スタイルフリー３５０ｍｌ,ACTIVE,1704,0,88,2070,10,456,AK105A,single_oracle_shelf,AK105A,147043000:AK105A:0:1021:6528|147043100:AK105A:::6528|147043900:AK105A:::6528|147043901:AK105A::1021:6528,skipped,already_matches,,,0,,0,0,0
51304,21786,185021,185021,　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,ACTIVE,1704,0,88,2074,10,425,AH30AO,single_oracle_shelf,AH30AO,185021000:AH30AO:0:1021:4704|185021100:AH30AO:::4704|185021900:AH30AO:::4704,skipped,already_matches,,,0,,0,0,0
52240,37492,215436,215436,　エクシードＮＥＯ　緑茶２Ｌ,ACTIVE,1702,1,324,12149,10,455,AK104R,single_oracle_shelf,AK104R,215436000:AK104R:0:1290:288|215436900:AK104R:::288,skipped,already_matches,,,0,,0,0,0
51041,21736,184409,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,ACTIVE,1686,0,4,572,10,262,AP101Z,single_oracle_shelf,AP101Z,184409000:AP101Z:0:1330:5779|184409100:AP101Z:::5779|184409900:AP101Z:::5779,skipped,already_matches,,,0,,0,0,0
51033,35628,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,ACTIVE,1728,48,4,564,10,458,AK107K,single_oracle_shelf,AK107K,142368000:AK107K:0:1330:2904|142368100:AK107K:::2904|142368900:AK107K:::2904,skipped,already_matches,,,0,,0,0,0
51268,38942,143244,143244,　サントリー　プレミアムモルツ３５０ｍｌ,ACTIVE,1680,0,78,1986,10,434,AH30SP,single_oracle_shelf,AH30SP,143244000:AH30SP:0:1021:1848|143244100:AH30SP:::1848|143244101:AH30SP:::1848|143244110:AH30SP:::1848|143244120:AH30SP:::1848|143244130:AH30SP:::1848|143244140:AH30SP:::1848|143244200:AH30SP:::1848|143244201:AH30SP:::1848|143244210:AH30SP:::1848|143244900:AH30SP:::1848|143244901:AH30SP:::1848|143244910:AH30SP:::1848|143244920:AH30SP:::1848,skipped,already_matches,,,0,,0,0,0
43912,44264,151445,151445,　サントネージュ　やわらぎ赤３００ｍｌ（秋吉様専用）,ACTIVE,1674,0,,,11,2464,L20102,single_oracle_shelf,L20102,151445000:L20102:0:1772:1716,skipped,already_matches,,,0,,0,0,0
53595,23723,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,ACTIVE,1692,48,512,27007,10,469,AP1037,single_oracle_shelf,AP1037,185522000:AP1037:0:1330:2868|185522100:AP1037:::2868|185522900:AP1037:::2868,skipped,already_matches,,,0,,0,0,0
51035,37394,143005,143005,◎キリンラガー３５０ｍｌ,ACTIVE,1632,0,4,566,10,428,AH30KR,single_oracle_shelf,AH30KR,143005000:AH30KR:0:1330:2826|143005100:AH30KR:::2826|143005200:AH30KR:::2826|143005900:AH30KR:::2826|143005901:AH30KR::1330:2826,skipped,already_matches,,,0,,0,0,0
51303,21784,185012,185012,　アサヒ　クリアアサヒ　３５０ｍｌ,ACTIVE,1632,24,88,2073,10,437,AI101A,single_oracle_shelf,AI101A,185012000:AI101A:0:1021:6288|185012100:AI101A:::6288|185012200:AI101A:::6288|185012300:AI101A:::6288|185012900:AI101A:::6288|185012901:AI101A:::6288|185012902:AI101A::1021:6288,skipped,already_matches,,,0,,0,0,0
53596,23725,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,ACTIVE,1600,0,512,27008,10,280,AP1024,single_oracle_shelf,AP1024,185524000:AP1024:0:1330:3209|185524100:AP1024:::3209|185524900:AP1024:::3209,skipped,already_matches,,,0,,0,0,0
