lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
56005,29560,156639,156639,　シャプティエ　コートデュローヌ　ルージュ　ペルルーシュ　７５０ｍｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,156639000::0:1004:12,skipped,oracle_no_shelf,,,0,,0,0,0
56017,51470,171880,171880,　梵　ゆずリキュール５００ｍｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,171880000::0:1514:0,skipped,oracle_no_shelf,,,0,,0,0,0
56019,51541,181021,181021,　宝　本みりん　ペット　１Ｌ,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,181021000::0:1202:0,skipped,oracle_no_shelf,,,0,,0,0,0
56560,52289,210526,210526,　コカコーラ　ＭＭぷるんぷるんＱｏｏ　もも味１２５ｇパウチ,ACTIVE,12,0,817,53269,10,327,Z00,single_oracle_shelf,Q00000,210526000:Q00000:0:1017:0|210526900::::0,planned,,2495,,0,,0,0,0
51052,51493,212087,212087,　大塚　ポカリスエット　イオンウォーター９００ｍｌ,DEPLETED,12,0,14,661,,327,Z00,single_oracle_shelf,Q00000,212087000:Q00000:0:1202:0|212087900::::0,planned,,2495,,12,56018:12,0,0,0
56018,51493,212087,212087,　大塚　ポカリスエット　イオンウォーター９００ｍｌ,ACTIVE,12,0,,,10,327,Z00,single_oracle_shelf,Q00000,212087000:Q00000:0:1202:0|212087900::::0,planned,,2495,,0,,0,0,0
56719,51485,222365,222365,　亀田　柿の種１８０ｇ６袋,ACTIVE,12,0,875,53855,10,327,Z00,single_oracle_shelf,I00000,222365000:I00000:0:1127:0,planned,,1810,,0,,0,0,0
55999,23796,471012,471012,　越の鷹　７２０ｍｌ　共通カートン１枚,ACTIVE,12,0,,,10,327,Z00,oracle_no_shelf,,471012000::0:1181:12,skipped,oracle_no_shelf,,,0,,0,0,0
56024,44272,151688,151688,　マンズワイン　酵母の泡　甲州　３６０ｍｌ,ACTIVE,11,0,,,10,327,Z00,oracle_no_shelf,,151688000::0:1021:11,skipped,oracle_no_shelf,,,0,,0,0,0
56036,39023,223506,223506,　伊藤園　ワンポット緑茶　ティーバック３０Ｐ,ACTIVE,10,0,,,10,327,Z00,oracle_no_shelf,,223506000::0:1085:10|223506900::::10,skipped,oracle_no_shelf,,,0,,0,0,0
53428,52151,244158,244158,　ブルボンプチうす焼き３６ｇ,ACTIVE,10,0,485,26748,,327,Z00,single_oracle_shelf,Q00000,244158000:Q00000:0:1127:0,planned,,2495,,0,,0,0,0
53434,52157,244187,244187,　ブルボンプチチョコチップ６０ｇ,ACTIVE,10,0,486,26754,,327,Z00,single_oracle_shelf,I00000,244187000:I00000:0:1127:0|244187900::::0,planned,,1810,,0,,0,0,0
53418,52150,244464,244464,　天狗　横綱あられ１７５ｇ,ACTIVE,10,0,478,26729,,327,Z00,single_oracle_shelf,I16309,244464000:I16309:0:1127:0,planned,,,yes,0,,0,0,0
53429,52152,247264,247264,　ロッテ　のど飴１１粒,ACTIVE,10,0,485,26749,,327,Z00,single_oracle_shelf,I00000,247264000:I00000:0:1127:0,planned,,1810,,0,,0,0,0
56043,29525,132067,132067,　ジョニーウォーカー　ブロンド　７００ｍｌ,ACTIVE,9,0,,,10,327,Z00,oracle_no_shelf,,132067000::0:1330:9,skipped,oracle_no_shelf,,,0,,0,0,0
56053,42390,113588,113588,　手取川　本流１．８Ｌ　※石川県内限定,ACTIVE,8,0,,,10,327,Z00,oracle_no_shelf,,113588000::0:1021:2,skipped,oracle_no_shelf,,,0,,0,0,0
56057,51732,184036,184036,　スミノフアイス　ピンクグレープフルーツ２７５ｍｌ,ACTIVE,8,0,,,10,327,Z00,oracle_no_shelf,,184036000::0:1330:0,skipped,oracle_no_shelf,,,0,,0,0,0
52102,51590,244062,244062,　森永　フレッシュＣ３８％１Ｌ,ACTIVE,8,0,283,11836,,327,Z00,single_oracle_shelf,AY0000,244062000:AY0000:0:1171:0,planned,,472,,0,,0,0,0
53433,52156,244095,244095,　ナビスコ　チップスターＳ　うすしお,ACTIVE,8,0,485,26753,,327,Z00,single_oracle_shelf,YX0000,244095000:YX0000:0:1127:0,planned,,2671,,0,,0,0,0
53432,52155,244147,244147,　ナビスコ　チップスターＳ　コンソメ４５ｇ,ACTIVE,8,0,485,26752,,327,Z00,single_oracle_shelf,YX0000,244147000:YX0000:0:1127:0,planned,,2671,,0,,0,0,0
53431,52154,244328,244328,　ナビスコ　チップスターＳ　のりしお,ACTIVE,8,0,485,26751,,327,Z00,single_oracle_shelf,YX0000,244328000:YX0000:0:1127:0,planned,,2671,,0,,0,0,0
56073,40664,170000,170000,部システム １７０ ,ACTIVE,7,0,,,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
52195,51813,112807,112807,　花垣純米大吟醸　棚田米７２０ｍｌ,ACTIVE,6,0,308,12098,,327,Z00,oracle_no_shelf,,112807000::0:1370:0,skipped,oracle_no_shelf,,,0,,0,0,0
56094,42436,114288,114288,　菊正宗　上撰　さけパック　生もと辛口２Ｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,114288000::0:1202:6,skipped,oracle_no_shelf,,,0,,0,0,0
56095,44202,118201,118201,　初孫生もと純米本辛口　魔斬７２０ｍｌ（まきり）,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,118201000::0:1761:6,skipped,oracle_no_shelf,,,0,,0,0,0
55093,52474,119159,119159,　梵　ささ雪　しぼりたて薄にごり活性生酒７２０ｍｌ,ACTIVE,6,0,664,50731,10,327,Z00,single_oracle_shelf,AW0000,119159000:AW0000:0:1514:0,planned,,471,,0,,0,0,0
56097,46064,119622,119622,　永平寺白龍　米てきてき３００ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,119622000::0:1263:6,skipped,oracle_no_shelf,,,0,,0,0,0
56098,46065,119623,119623,　永平寺白龍　水てきてき３００ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,119623000::0:1263:6,skipped,oracle_no_shelf,,,0,,0,0,0
56099,46066,119624,119624,　永平寺白龍　土てきてき３００ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,119624000::0:1263:6,skipped,oracle_no_shelf,,,0,,0,0,0
52148,51800,119739,119739,　関西　本醸造　上撰７２０ｍｌ,ACTIVE,6,0,294,11976,,327,Z00,oracle_no_shelf,,119739000::0:1741:0,skipped,oracle_no_shelf,,,0,,0,0,0
56581,52811,119774,119774,　越前岬　大吟醸　吟の雫　プレミアム生原酒　７２０ｍｌ,ACTIVE,6,0,829,53293,10,327,Z00,oracle_no_shelf,,119774000::0:1460:0,skipped,oracle_no_shelf,,,0,,0,0,0
56083,25554,123486,123486,　２５°女帝　麦１．８Ｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,123486000::0:1021:6,skipped,oracle_no_shelf,,,0,,0,0,0
56090,35630,142453,142453,　サントリー　東京クラフト　フルーティーエール３５０ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,142453000::0:1021:6|142453900::::6,skipped,oracle_no_shelf,,,0,,0,0,0
56106,52308,142773,142773,　キリン　一番搾り　ホワイトビール３５０ｍｌ,ACTIVE,6,0,,,10,327,Z00,single_oracle_shelf,Q00000,142773000:Q00000:0:1330:0|142773100::::0|142773900::::0,planned,,2495,,0,,0,0,0
56080,21670,153954,153954,　シャプティエ　リュベロン　ラシボワーズ　ルージュ　７５０ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,153954000::0:1004:6,skipped,oracle_no_shelf,,,0,,0,0,0
55129,27492,156104,156104,　モンダヴィ　ウッドブリッジ　シャルドネ　７５０ｍｌ,ACTIVE,-6,0,684,50855,10,327,Z00,oracle_no_shelf,,156104000::0:1330:6,skipped,oracle_no_shelf,,,0,,0,0,0
55130,27492,156104,156104,　モンダヴィ　ウッドブリッジ　シャルドネ　７５０ｍｌ,ACTIVE,6,0,685,50856,10,327,Z00,oracle_no_shelf,,156104000::0:1330:6,skipped,oracle_no_shelf,,,0,,0,0,0
56087,29567,156685,156685,×ヴィーニャドリア　赤　７５０ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,156685000::0:1048:6,skipped,oracle_no_shelf,,,0,,0,0,0
56088,29568,156693,156693,　ヴィーニャドリア　白　７５０ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,156693000::0:1048:6,skipped,oracle_no_shelf,,,0,,0,0,0
55117,52507,171990,171990,　チョーヤ　梅サルーテ　７５０ｍｌ,ACTIVE,6,0,679,50842,10,327,Z00,oracle_no_shelf,,171990000::0:1021:0,skipped,oracle_no_shelf,,,0,,0,0,0
56107,52521,210746,210746,　ＭＩＺＵＳＨＩＭＡ　ＢＬＵＥ　ジンジャービア　３３０ｍｌ,ACTIVE,6,0,,,10,327,Z00,oracle_no_shelf,,210746000::0:1982:0,skipped,oracle_no_shelf,,,0,,0,0,0
53276,52138,210929,210929,　日清ヨーク　十勝　のむヨーグルト９００ｇ,ACTIVE,6,0,462,26410,,327,Z00,single_oracle_shelf,AY0000,210929000:AY0000:0:1126:0,planned,,472,,0,,0,0,0
56702,51807,231593,231593,　フクしょうゆ　フク　ニューマイルド１．８ＬＰＥＴ,ACTIVE,6,0,869,53828,10,327,Z00,oracle_no_shelf,,231593000::0:1106:0,skipped,oracle_no_shelf,,,0,,0,0,0
52475,51593,261382,261382,　森永　無塩バター　発酵４５０ｇ,ACTIVE,6,0,380,12808,,327,Z00,single_oracle_shelf,YB8000,261382000:YB8000:0:1171:0,planned,,2668,,0,,0,0,0
53317,35764,722022,722022,　空容器　ビール樽１５Ｌ,ACTIVE,6,0,345,26465,,327,Z00,oracle_no_shelf,,722022000::0:1021:494,skipped,oracle_no_shelf,,,0,,0,0,0
54939,35764,722022,722022,　空容器　ビール樽１５Ｌ,ACTIVE,6,0,617,50283,10,327,Z00,oracle_no_shelf,,722022000::0:1021:494,skipped,oracle_no_shelf,,,0,,0,0,0
55750,35764,722022,722022,　空容器　ビール樽１５Ｌ,ACTIVE,6,0,824,52003,10,327,Z00,oracle_no_shelf,,722022000::0:1021:494,skipped,oracle_no_shelf,,,0,,0,0,0
52779,35766,722024,722024,　空容器　ビール樽２０Ｌ,ACTIVE,6,0,151,14182,,327,Z00,oracle_no_shelf,,722024000::0:1021:1201,skipped,oracle_no_shelf,,,0,,0,0,0
53207,35766,722024,722024,　空容器　ビール樽２０Ｌ,ACTIVE,6,0,325,26304,,327,Z00,oracle_no_shelf,,722024000::0:1021:1201,skipped,oracle_no_shelf,,,0,,0,0,0
52061,51780,112882,112882,　鳥浜酒造　若狭自慢　冷酒３００ｍｌ（純米）,ACTIVE,5,0,275,11723,,327,Z00,oracle_no_shelf,,112882000::0:1021:0,skipped,oracle_no_shelf,,,0,,0,0,0
56126,52243,132761,132761,　バスカー　アイリッシュウィスキー　７００ｍｌ,ACTIVE,5,0,,,10,327,Z00,single_oracle_shelf,YX0000,132761000:YX0000:0:1602:0,planned,,2671,,0,,0,0,0
56122,46186,171938,171938,　山元　にごり梅酒　梅太夫１．８Ｌ,ACTIVE,5,0,,,10,327,Z00,oracle_no_shelf,,171938000::0:1021:5,skipped,oracle_no_shelf,,,0,,0,0,0
56125,52110,184155,184155,　サントリー　ほろよい　レモみかん３５０ｍｌ,ACTIVE,5,0,,,10,327,Z00,oracle_no_shelf,,184155000::0:1021:0|184155900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
55061,51585,210518,210518,　ネスレ　特選ココア　ミルク仕立て７５０ｇ,ACTIVE,5,0,649,50649,10,327,Z00,oracle_no_shelf,,210518000::0:1069:0,skipped,oracle_no_shelf,,,0,,0,0,0
56112,29597,211203,211203,　アサヒ　スタイルバランス　グレープフルーツテイスト３５０ｍｌ,ACTIVE,5,0,,,10,327,Z00,oracle_no_shelf,,211203000::0:1021:5|211203100::::5|211203900::::5,skipped,oracle_no_shelf,,,0,,0,0,0
