real_stock_id	warehouse_id	item_id	item_code	item_name	current_quantity	reserved_quantity	parent_available_qty	lot_pickable_qty	missing_qty	reason	default_location_status	default_location_code	z00_code	z00_flags	z00_floor_id
21797	91	340000	340000	　ハリカ金額管理ギフト（仕入用）	71	0	71	0	71	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
42431	91	114150	114150	　白鶴　上撰　サケカップ２００ｍｌ	60	0	60	0	60	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
38998	91	160000	160000	部システム １６０ 	60	0	60	0	60	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
50501	91	287777	287777	　カイリューのやさしいうすしおポテト５０ｇ	4844	100	4744	4684	60	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	YX-0-000	Z-0-0	3	10
42126	21	141027	141027	◎キリン　ラガー　大瓶６３３ｍｌ	97	0	97	39	58	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
50386	91	153336	153336	　フォルタン　カベルネソービニヨン　１８７ｍｌ	58	0	58	0	58	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
38913	91	112651	112651	　一乃谷金印カップ１８０ｍｌ	57	0	57	0	57	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
9295	4	141020	141020	◎アサヒ　スーパードライ　中瓶５００ｍｌ	219	0	219	165	54	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
35561	91	111056	111056	○月桂冠上撰　キャップエース１８０ｍｌ	52	0	52	0	52	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
37850	9	184391	184391	　タカラ　カンチューハイ　レモン３５０ｍｌ	117	0	117	69	48	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
2467	3	143037	143037	◎キリンラガー５００ｍｌ	144	0	144	97	47	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
11608	4	143037	143037	◎キリンラガー５００ｍｌ	145	0	145	98	47	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
440	4	147204	147204	　きらやか麦　糖質７０％オフ３５０ｍｌ	142	0	142	96	46	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
40545	91	112975	112975	　小浜酒造純米酒わかさ３００ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23592	91	122887	122887	　２５°本格芋焼酎　伊七郎７２０ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
50395	91	153498	153498	　フォルタン　シャルドネ　１８７ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
11560	4	142404	142404	　サントリー　パーフェクトサントリービール３５０ｍｌ	430	0	430	386	44	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
11617	4	184068	184068	　キリン　のどごし＜生＞　５００ｍｌ	177	0	177	133	44	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
12298	4	143060	143060	◎キリン　一番搾り５００ｍｌ	169	0	169	126	43	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
27520	91	210594	210594	　サントリー　ゼロッパ　５００ｍｌ	42	0	42	0	42	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23799	91	471017	471017	　福千歳　７２０ｍｌ　共通カートン１枚	42	0	42	0	42	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
51765	22	112506	112506	　黒龍　九頭龍　逸品１．８Ｌ	41	0	41	0	41	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	3
48142	71	147271	147271	　サントリー　金麦　ザ・ラガー３５０ｍｌ	41	0	41	0	41	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
46089	91	120000	120000	部システム １２０ 	41	0	41	0	41	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
17788	1	141037	141037	○キリン　一番搾り　中瓶５００ｍｌ	82	0	82	42	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
2477	3	143085	143085	　サッポロ　エビス３５０ｍｌ	262	0	262	222	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
36110	9	141037	141037	○キリン　一番搾り　中瓶５００ｍｌ	81	0	81	41	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
44938	9	210923	210923	　但馬の天然水５５０ｍｌ	496	0	496	456	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
49591	11	141027	141027	◎キリン　ラガー　大瓶６３３ｍｌ	455	0	455	415	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
49602	11	141078	141078	　サントリープレミアムモルツ　中瓶５００ｍｌ	54	0	54	14	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
23798	91	471015	471015	　永平寺白龍　１．８Ｌ　１本　共通カートン１枚	40	0	40	0	40	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
23804	91	471100	471100	　一本義二本用箱	40	0	40	0	40	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
33652	91	157241	157241	　サンタヘレナ　アルパカ　シャルドネセミヨン　７５０ｍｌ	39	0	39	0	39	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23803	91	471099	471099	　一本義一本用箱	39	0	39	0	39	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
35669	91	158022	158022	　フォルタン　シャルドネ　３７５ｍｌ	38	0	38	0	38	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
42123	21	141019	141019	◎アサヒ　スーパードライ　大瓶６３３ｍｌ	108	0	108	71	37	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
48114	71	142859	142859	　キリン　グッドエール３５０ｍｌ	431	0	431	395	36	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
48118	71	143024	143024	◎アサヒ　スーパードライ３５０ｍｌ	1566	0	1566	1530	36	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
44258	91	119403	119403	　北の庄　純米酒　カップ１８０ｍｌ	36	0	36	0	36	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23801	91	471042	471042	　真名鶴　７２０ｍｌ共通カートン１枚	36	0	36	0	36	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23802	91	471046	471046	　黒龍　ギフトボックス７２０ｍｌ　１枚	35	0	35	0	35	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
17793	1	141080	141080	　サッポロ　ラガー　大瓶６３３ｍｌ	106	0	106	72	34	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
31691	91	211977	211977	　サントリー　おうちドリンクバー　ペプシコーラ３４０ｍｌ	34	0	34	0	34	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
46256	91	260000	260000	部システム ２６０ 	34	0	34	0	34	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
4373	4	122998	122998	　２５°つるつるいっぱい２Ｌ（麦）パック	233	0	233	202	31	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
