location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,156899,156899,　コセチャ　メルロ　７５０ｍｌ,52614,55866,ACTIVE,120,0,327,11,Z-0-0,Z00,デフォルト
default,156904,156904,　ドルーアン　ブルゴーニュ　ピノノワール　７５０ｍｌ,,17846,,,,327,11,Z-0-0,Z00,デフォルト
lot,156904,156904,　ドルーアン　ブルゴーニュ　ピノノワール　７５０ｍｌ,31607,56267,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
default,156905,156905,　ドルーアン　ブルゴーニュ　シャルドネ　７５０ｍｌ,,12530,,,,327,11,Z-0-0,Z00,デフォルト
lot,156905,156905,　ドルーアン　ブルゴーニュ　シャルドネ　７５０ｍｌ,31608,56268,ACTIVE,1,0,327,11,Z-0-0,Z00,デフォルト
default,156925,156925,　サルトーリ　ソアーヴェ　オーガニック　７５０ｍｌ,,28310,,,,2851,11,I-15-309,I15309,I15309
lot,156925,156925,　サルトーリ　ソアーヴェ　オーガニック　７５０ｍｌ,51789,52090,ACTIVE,5,0,2851,11,I-15-309,I15309,I15309
default,156930,156930,　ブシャールＰ＆Ｆ　コルトンシャルルマーニュ　’２１　７５０ｍｌ,,46724,,,,327,11,Z-0-0,Z00,デフォルト
lot,156930,156930,　ブシャールＰ＆Ｆ　コルトンシャルルマーニュ　’２１　７５０ｍｌ,31609,56069,ACTIVE,7,0,327,11,Z-0-0,Z00,デフォルト
lot,156932,156932,　コセチャ　ピノノワール　７５０ｍｌ,52615,55867,ACTIVE,120,0,327,11,Z-0-0,Z00,デフォルト
default,156934,156934,　コセチャ　シャルドネ　７５０ｍｌ,,24923,,,,327,11,Z-0-0,Z00,デフォルト
lot,156934,156934,　コセチャ　シャルドネ　７５０ｍｌ,31610,55868,ACTIVE,120,0,327,11,Z-0-0,Z00,デフォルト
lot,156934,156934,　コセチャ　シャルドネ　７５０ｍｌ,31610,56140,ACTIVE,4,0,327,11,Z-0-0,Z00,デフォルト
default,156935,156935,　レ　タンヌ　オクシタン　カベルネソービニヨン　７５０ｍｌ,,41941,,,,2084,11,I-07-307,I07307,I07307
lot,156935,156935,　レ　タンヌ　オクシタン　カベルネソービニヨン　７５０ｍｌ,31611,31453,ACTIVE,6,0,2084,11,I-07-307,I07307,I07307
lot,156935,156935,　レ　タンヌ　オクシタン　カベルネソービニヨン　７５０ｍｌ,31611,55033,ACTIVE,0,0,2084,11,I-07-307,I07307,I07307
default,156936,156936,　レ　タンヌ　オクシタン　シャルドネ　７５０ｍｌ,,41942,,,,2085,11,I-07-308,I07308,I07308
lot,156936,156936,　レ　タンヌ　オクシタン　シャルドネ　７５０ｍｌ,31612,31454,ACTIVE,5,0,2085,11,I-07-308,I07308,I07308
lot,156936,156936,　レ　タンヌ　オクシタン　シャルドネ　７５０ｍｌ,31612,52091,ACTIVE,4,0,2085,11,I-07-308,I07308,I07308
lot,156936,156936,　レ　タンヌ　オクシタン　シャルドネ　７５０ｍｌ,31612,55034,ACTIVE,-1,0,2085,11,I-07-308,I07308,I07308
default,156937,156937,　レ　タンヌ　オクシタン　ソービニヨンブラン　７５０ｍｌ,,20377,,,,2007,11,I-05-217,I05217,I05217
lot,156937,156937,　レ　タンヌ　オクシタン　ソービニヨンブラン　７５０ｍｌ,31613,31455,ACTIVE,5,0,2007,11,I-05-217,I05217,I05217
lot,156937,156937,　レ　タンヌ　オクシタン　ソービニヨンブラン　７５０ｍｌ,31613,55035,ACTIVE,-1,0,2007,11,I-05-217,I05217,I05217
default,156952,156952,　タヴェルネッロ　オルガニコ　サンジョベーゼ　７５０ｍｌ,,43836,,,,1912,11,I-03-413,I03413,I03413
lot,156952,156952,　タヴェルネッロ　オルガニコ　サンジョベーゼ　７５０ｍｌ,31614,31456,ACTIVE,5,0,1912,11,I-03-413,I03413,I03413
default,156959,156959,　タヴェルネッロ　オルガニコ　トレッビアーノシャルドネ　７５０ｍｌ,,48834,,,,1915,11,I-03-418,I03418,I03418
