item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
152567,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152633,,,,Z00,,mysql_location_but_oracle_no_shelf
152670,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152714,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152738,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152836,2,,,,Z00,mysql_location_but_oracle_no_shelf
152842,,,,Z00,,mysql_location_but_oracle_no_shelf
152852,0,,,Z00,,mysql_location_but_oracle_no_shelf
152876,11,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152914,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152918,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
152949,1,,,,Z00,mysql_location_but_oracle_no_shelf
152951,1,,,,Z00,mysql_location_but_oracle_no_shelf
153029,,,,Z00,,mysql_location_but_oracle_no_shelf
153105,,,,Z00,,mysql_location_but_oracle_no_shelf
153194,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153336,58,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153430,1,,,,Z00,mysql_location_but_oracle_no_shelf
153485,,,,Z00,,mysql_location_but_oracle_no_shelf
153490,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153498,45,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153545,,,,Z00,,mysql_location_but_oracle_no_shelf
153561,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153569,,,,Z00,,mysql_location_but_oracle_no_shelf
153595,15,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153606,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153614,,,,Z00,,mysql_location_but_oracle_no_shelf
153656,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153673,,,,Z00,,mysql_location_but_oracle_no_shelf
153716,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153744,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153747,,,,Z00,,mysql_location_but_oracle_no_shelf
153755,3,,,,Z00,mysql_location_but_oracle_no_shelf
153798,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153883,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
153893,2,,,,Z00,mysql_location_but_oracle_no_shelf
153894,2,,,,Z00,mysql_location_but_oracle_no_shelf
153954,6,,,,Z00,mysql_location_but_oracle_no_shelf
153958,,,,Z00,,mysql_location_but_oracle_no_shelf
153967,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154009,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154010,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154016,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154037,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154077,,,,Z00,,mysql_location_but_oracle_no_shelf
154078,,,,Z00,,mysql_location_but_oracle_no_shelf
154095,,,,Z00,,mysql_location_but_oracle_no_shelf
154096,,,,Z00,,mysql_location_but_oracle_no_shelf
154098,,,,Z00,,mysql_location_but_oracle_no_shelf
154099,,,,Z00,,mysql_location_but_oracle_no_shelf
154101,,,,Z00,,mysql_location_but_oracle_no_shelf
154145,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154146,1,,,,Z00,mysql_location_but_oracle_no_shelf
154150,1,,,,Z00,mysql_location_but_oracle_no_shelf
154154,4,,,,Z00,mysql_location_but_oracle_no_shelf
154179,3,,,,Z00,mysql_location_but_oracle_no_shelf
154180,2,,,,Z00,mysql_location_but_oracle_no_shelf
154413,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154464,1,,,,Z00,mysql_location_but_oracle_no_shelf
154466,1,,,,Z00,mysql_location_but_oracle_no_shelf
154495,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154524,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154599,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154611,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
154749,14,,,Z00,Z00,mysql_location_but_oracle_no_shelf
