store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,111324,111324000,,,0,1202,0
91,111325,111325000,,,0,1202,0
91,111326,111326000,,,0,9999,0
91,111327,111327000,,,0,9999,0
91,111328,111328000,,,0,1250,0
91,111329,111329000,,,0,1385,0
91,111330,111330000,,,0,1385,0
91,111331,111331000,,,0,1385,0
91,111332,111332000,,,0,1202,0
91,111333,111333000,,,0,1202,0
91,111335,111335000,,,0,1202,0
91,111336,111336000,,,0,1202,0
91,111337,111337000,,,0,1021,0
91,111338,111338000,E09208,E09208,0,1202,16
91,111339,111339000,,,0,1202,0
91,111340,111340000,E10216,E10216,0,1202,7
91,111341,111341000,E06208,E06208,0,1202,20
91,111344,111344000,,,0,1021,0
91,111345,111345000,,,0,1202,0
91,111346,111346000,,,0,1330,0
91,111347,111347000,,,0,1330,0
91,111348,111348000,,,0,1021,0
91,111349,111349000,,,0,1202,0
91,111350,111350000,,,0,1021,0
91,111351,111351000,,,0,1202,0
91,111352,111352000,,,0,1202,0
91,111353,111353000,,,0,1330,0
91,111354,111354000,YC0000,YC0000,0,1330,25
91,111355,111355000,,,0,1330,0
91,111356,111356000,,,0,1202,0
91,111357,111357000,,,0,1202,0
91,111358,111358000,,,0,1021,0
91,111359,111359000,,,0,1202,0
91,111360,111360000,,,0,1202,0
91,111361,111361000,,,0,1002,0
91,111362,111362000,,,0,1202,0
91,111363,111363000,,,0,1021,0
91,111364,111364000,,,0,1202,0
91,111365,111365000,,,0,1202,0
91,111366,111366000,,,0,1330,0
91,111367,111367000,,,0,1202,0
91,111368,111368000,,,0,1202,0
91,111369,111369000,,,0,1202,0
91,111370,111370000,,,0,1202,0
91,111371,111371000,,,0,9999,0
91,111372,111372000,,,0,1330,0
91,111373,111373000,,,0,1385,0
91,111374,111374000,,,0,1002,0
91,111375,111375000,,,0,1021,0
91,111376,111376000,,,0,1202,0
91,111377,111377000,,,0,1202,0
91,111378,111378000,,,0,1202,0
91,111379,111379000,,,0,1330,0
91,111380,111380000,,,0,1330,0
91,111381,111381000,,,0,1202,0
91,111382,111382000,,,0,1202,0
91,111383,111383000,,,0,1330,0
91,111384,111384000,,,0,1202,0
91,111385,111385000,Q00000,Q00000,0,1202,0
91,111386,111386000,,,0,1330,0
91,111387,111387000,,,0,1021,0
91,111388,111388000,,,0,9999,0
91,111389,111389000,,,0,1202,0
91,111390,111390000,,,0,1202,0
91,111391,111391000,,,0,1202,0
91,111392,111392000,,,0,1202,0
91,111393,111393000,,,0,1202,0
91,111394,111394000,,,0,1202,0
91,111395,111395000,,,0,1330,0
91,111396,111396000,L18306,L18306,0,1330,30
91,111397,111397000,,,0,1202,0
91,111397,111397900,M02305,M02305,,1202,0
91,111398,111398000,,,0,1202,0
91,111399,111399000,,,0,1202,0
91,111400,111400000,,,0,1021,0
91,111401,111401000,,,0,1202,0
91,111402,111402000,,,0,1330,0
91,111403,111403000,,,0,1330,0
91,111404,111404000,,,0,1202,0
91,111405,111405000,,,0,1021,0
91,111406,111406000,,,0,1202,0
91,111407,111407000,,,0,1021,0
91,111408,111408000,,,0,1202,0
91,111409,111409000,,,0,1202,0
91,111410,111410000,,,0,1330,0
91,111411,111411000,,,0,1330,0
91,111412,111412000,,,0,1330,0
91,111413,111413000,,,0,1202,0
91,111414,111414000,,,0,1021,0
91,111415,111415000,,,0,1021,0
