real_stock_id	item_id	item_code	item_name	current_quantity	reserved_quantity	available_quantity	patch_location_id	patch_floor_id	patch_location_code
51541	181021	181021	　宝　本みりん　ペット　１Ｌ	12	0	12	327	10	Z-0-0
25630	155586	155586	　ベルエポック　’１６　７５０ｍｌ	11	0	11	10	10	ZZ-1
38934	112785	112785	　游　芳醇超辛口　番外山田錦７２０ｍｌ（白龍）	11	0	11	10	10	ZZ-1
38978	159013	159013	　プレミオ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ	11	0	11	10	10	ZZ-1
44272	151688	151688	　マンズワイン　酵母の泡　甲州　３６０ｍｌ	11	0	11	327	10	Z-0-0
48246	152876	152876	　ウィリアムフェーブル　シャブリ　３７５ｍｌ	11	0	11	10	10	ZZ-1
23676	155110	155110	　マルティーニ　アスティ　７５０ｍｌ	10	0	10	10	10	ZZ-1
25535	123390	123390	　２５°田苑　金ラベル９００ｍｌ（麦）	10	0	10	10	10	ZZ-1
25610	155434	155434	　マム　グラン　コルドン　ロゼ７５０ｍｌ	10	0	10	10	10	ZZ-1
25634	155621	155621	　ランソン　ホワイトラベル　セック　７５０ｍｌ	10	0	10	10	10	ZZ-1
25639	155650	155650	　ボッテガ　ゴールド７５０ｍｌ	10	0	10	10	10	ZZ-1
29563	156663	156663	　ＬＬ　シャブリ　ラ　シャンフルーフ　３７５ｍｌ	10	0	10	10	10	ZZ-1
33676	157557	157557	　コートデュローヌルージュ　ルプティアンデソン　７５０ｍｌ	10	0	10	10	10	ZZ-1
35572	111218	111218	　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）	10	0	10	10	10	ZZ-1
38996	159132	159132	　シャトー　ブリュンデスパーニュ　エリタージュ　７５０ｍｌ	10	0	10	10	10	ZZ-1
39023	223506	223506	　伊藤園　ワンポット緑茶　ティーバック３０Ｐ	10	0	10	327	10	Z-0-0
44365	171757	171757	　富久駒　一筆啓上　梅の酒５００ｍｌ（クリアケース入）	10	0	10	10	10	ZZ-1
23594	122898	122898	×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ	9	0	9	10	10	ZZ-1
23714	155271	155271	　サントリーポンパドール　マスカット３７５ｍｌ	9	0	9	10	10	ZZ-1
25620	155499	155499	　ニコラフィアット　ヴィンテージ　ブランドブラン　７５０ｍｌ	9	0	9	10	10	ZZ-1
27518	210591	210591	　ドーバー　ビアリッツレモン瓶７００ｍｌ	9	0	9	10	10	ZZ-1
29517	132022	132022	　メーカーズマーク　１Ｌ	9	0	9	10	10	ZZ-1
29525	132067	132067	　ジョニーウォーカー　ブロンド　７００ｍｌ	9	0	9	327	10	Z-0-0
35662	157956	157956	　パラ　ヒメネス　カベルネソーヴィニヨン　オーガニック	9	0	9	10	10	ZZ-1
40613	161027	161027	　サントリー　ドライジンエクストラ　７２０ｍｌ	9	0	9	10	10	ZZ-1
40726	231629	231629	　キッコーマン　ステーキしょうゆ　トリュフ風味５７０ｇ	9	0	9	10	10	ZZ-1
48272	172164	172164	　ソウルマッコリ　ペットボトル　７５０ｍｌ	9	0	9	10	10	ZZ-1
27470	155783	155783	　メゾンマム　ＲＳＲＶ　ブランドブラン　２０１５　７５０ｍｌ	8	0	8	10	10	ZZ-1
29622	211331	211331	　メルシャン　スパークリング　アルコールゼロ　白３６０ｍｌ	8	0	8	839	11	E-04-316
37372	112418	112418	　雲乃井　純米吟醸　東雲７２０ｍｌ	8	0	8	10	10	ZZ-1
42483	151231	151231	　白山ワイナリー　梅ワイン　５００ｍｌ	8	0	8	10	10	ZZ-1
46086	119738	119738	　花垣　純米大吟醸　廻めぐり７２０ｍｌ	8	0	8	10	10	ZZ-1
48170	121077	121077	　２５°サッポロ焼酎　北極星４Ｌ	8	0	8	10	10	ZZ-1
21667	153883	153883	　ミシオネス　カベルネソービニヨン　７５０ｍｌ	7	0	7	10	10	ZZ-1
21680	154037	154037	×チンザノ　ドライ　１Ｌ	7	0	7	10	10	ZZ-1
21714	154599	154599	　テール　デトワール　キュヴェ　ギョタク　７５０ｍｌ	7	0	7	10	10	ZZ-1
25553	123485	123485	　２５°白鶴　本格麦焼酎　千夜一酔７２０ｍｌ	7	0	7	10	10	ZZ-1
25622	155510	155510	　ニコラフィアット　エクスクルーシブ　ブリュットロゼ　７５０ｍｌ	7	0	7	10	10	ZZ-1
25628	155571	155571	　マルティーニ　ブリュット　３７５ｍｌ	7	0	7	10	10	ZZ-1
25641	155661	155661	　グランクルタージュ　グランキュヴェ　ブランドブラン　７５０ｍｌ	7	0	7	327	10	Z-0-0
27493	156122	156122	　フォルタン　シャルドネ　７５０ｍｌ	7	0	7	10	10	ZZ-1
29575	156748	156748	×コニェット　ミュスカデセーヴルエメーヌ　７５０ｍｌ	7	0	7	10	10	ZZ-1
31609	156930	156930	　ブシャールＰ＆Ｆ　コルトンシャルルマーニュ　’２１　７５０ｍｌ	7	0	7	10	10	ZZ-1
35663	157957	157957	　テタンジェ　ブリュットレゼルヴ　３７５ｍｌ	7	0	7	10	10	ZZ-1
35748	720001	720001	　空容器（内税）	7	0	7	10	10	ZZ-1
40533	112842	112842	　一乃谷山廃仕込み特別純米７２０ｍｌ	7	0	7	10	10	ZZ-1
40664	170000	170000	部システム １７０ 	7	0	7	327	10	Z-0-0
44263	151397	151397	　白山アンドソル　ヤマソーヴィニヨン　７５０ｍｌ	7	0	7	10	10	ZZ-1
44271	151683	151683	　マンズエコノミー　赤　紙パック　１．８Ｌ	7	0	7	10	10	ZZ-1
46039	119418	119418	　月暈　純米７２０ｍｌ	7	0	7	10	10	ZZ-1
46083	119726	119726	　越前岬　純米大吟醸１８０ｍｌ（プレミアム）	7	0	7	10	10	ZZ-1
46150	171779	171779	　富久駒　一筆啓上　梅すぱ３００ｍｌ（クリアケース無し）	7	0	7	10	10	ZZ-1
46154	171798	171798	　富久駒　一筆啓上　柚子すぱ３００ｍｌ（クリアケース無し）	7	0	7	10	10	ZZ-1
21670	153954	153954	　シャプティエ　リュベロン　ラシボワーズ　ルージュ　７５０ｍｌ	6	0	6	327	10	Z-0-0
21676	154010	154010	　チンザノ　ドライ　７５０ｍｌ	6	0	6	10	10	ZZ-1
