status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,lot,184420,　チョーヤ　さらりとした梅酒　パック　１．８Ｌ,91,21715,17,0,551,B08201,B08201,B08201,184420000:B08201:0:1021
oracle_no_shelf,lot,184421,　チョーヤ　さらりとした梅酒　パック１Ｌ,91,56203,2,0,11,zz1,,,184421000::0:1021
match,lot,184422,　チョーヤ　さらりとした梅酒　瓶　３００ｍｌ,91,21716,19,0,1066,E10215,E10215,E10215,184422000:E10215:0:1021
match,lot,184423,　キリン　氷結ＺＥＲＯ　グレープフルーツ　３５０ｍｌ,91,21717,24,0,1311,G01307,G01307,G01307,184423000:G01307:0:1330|184423900:G01307::
match,lot,184423,　キリン　氷結ＺＥＲＯ　グレープフルーツ　３５０ｍｌ,91,54648,24,0,1311,G01307,G01307,G01307,184423000:G01307:0:1330|184423900:G01307::
match,lot,184423,　キリン　氷結ＺＥＲＯ　グレープフルーツ　３５０ｍｌ,91,56624,24,0,1311,G01307,G01307,G01307,184423000:G01307:0:1330|184423900:G01307::
match,lot,184424,　キリン　氷結ＺＥＲＯ　レモン　５００ｍｌ,91,21718,12,0,2495,Q00000,Q00000,Q00000,184424000:Q00000:0:1330|184424900:::
match,lot,184425,　キリン　氷結ＺＥＲＯ　グレープフルーツ　５００ｍｌ,91,21719,12,0,2495,Q00000,Q00000,Q00000,184425000:Q00000:0:1330|184425900:::
match,lot,184428,　宝スッキリ果実のお酒　ウメ２５０ｍｌ,91,21720,48,0,1315,G01311,G01311,G01311,184428000:G01311:0:1202|184428900:G01311::1202
match_one_of_multiple,lot,184429,　宝スッキリ果実のお酒　ＧＦ２５０ｍｌ,91,21721,73,0,2745,G01108,G01108|G02205,G01108|G02205,184429000:G01108:0:1202|184429900:G02205::1202
