status,source,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,ref_count,total_current,total_available,oracle_products
match,default,112693,　梵　超吟７２０ｍｌ（漆箱入）　※卸不可,AW0000,AW0000,AW0000,1,0,0,112693000:AW0000:0:1514
match,default,112710,　永平寺白龍　生貯蔵酒３００ｍｌ,L08205,L08205,L08205,1,0,0,112710000:L08205:0:1263
match,default,112720,　永平寺白龍　純米大吟醸　生貯蔵酒３００ｍｌ,G06108,G06108,G06108,1,0,0,112720000:G06108:0:1263
match,default,112727,　梵　特撰純米大吟醸７２０ｍｌ,W03203,W03203,W03203,1,0,0,112727000:W03203:0:1514
match,default,112730,　伝心純米大吟醸　「凛」７２０ｍｌ　※直送・卸不可,AY0000,AY0000,AY0000,1,0,0,112730000:AY0000:0:1202
match,default,112745,　雲乃井純米　福雲カップ１８０ｍｌ,G06404,G06404,G06404,1,0,0,112745000:G06404:0:1543
match,default,112747,　関西　佳撰カップ１８０ｍｌ,G06413,G06413,G06413,1,0,0,112747000:G06413:0:1741
match,default,112748,　関西　佳撰３００ｍｌ,G06405,G06405,G06405,1,0,0,112748000:G06405:0:1741
match,default,112749,　北の庄本醸造　冷酒　生貯蔵酒　３００ｍｌ,Q00000,Q00000,Q00000,1,0,0,112749000:Q00000:0:1539
match,default,112750,　若鹿バンビカップ　上撰１８０ｍｌ,G07305,G07305,G07305,1,0,0,112750000:G07305:0:1539
match,default,112752,　伊藤酒造あすわ１．８Ｌ,F06102,F06102,F06102,1,0,0,112752000:F06102:0:1181
match,default,112777,　永平寺白龍　純米大吟醸「吉峯」　無濾過原酒７２０ｍｌ,G05406,G05406,G05406,1,0,0,112777000:G05406:0:1263
match,default,112779,　黒龍　大吟醸１．８Ｌ,I08106,I08106,I08106,1,0,0,112779000:I08106:0:2018
match,default,112780,　游　純米大吟醸　芳醇超辛口７２０ｍｌ（白龍）,G05403,G05403,G05403,1,0,0,112780000:G05403:0:1263
match,default,112782,　游　純米大吟醸　芳醇超辛口１．８Ｌ（白龍）,W06413,W06413,W06413,1,0,0,112782000:W06413:0:1263
match,default,112784,　游　純米吟醸　芳醇超辛口１．８Ｌ（白龍）,E07103,E07103,E07103,1,0,0,112784000:E07103:0:1263
match,default,112786,　游　芳醇超辛口　番外山田錦１．８Ｌ（白龍）,E11113,E11113,E11113,1,0,0,112786000:E11113:0:1263
match,default,112789,　花垣生貯蔵酒（本醸造）３００ｍｌ,I09101,I09101,I09101,1,0,0,112789000:I09101:0:1370
match,default,112800,　華燭純米生貯蔵酒３００ｍｌ,G06308,G06308,G06308,1,0,0,112800000:G06308:0:1021
match,default,112809,　関西　佳撰　生詰原酒１．８Ｌ,I08110,I08110,I08110,1,0,0,112809000:I08110:0:1741
match,default,112814,　関西　佳撰　生詰原酒７２０ｍｌ,I09110,I09110,I09110,1,0,0,112814000:I09110:0:1741
match,default,112816,　関西　本醸造　上撰１８０ｍｌ（レトロ）,YX0000,YX0000,YX0000,1,0,0,112816000:YX0000:0:1741
match,default,112817,　関西　吟醸１８０ｍｌ（プレミアム）,YX0000,YX0000,YX0000,1,0,0,112817000:YX0000:0:9012
match,default,112818,　伝心春　純米吟醸無濾過生酒７２０ｍｌ　※直送・卸不可,AW0000,AW0000,AW0000,1,0,0,112818000:AW0000:0:1202
match,default,112820,　黒龍九頭龍　純米７２０ｍｌ,YX0000,YX0000,YX0000,1,0,0,112820000:YX0000:0:1202
match,default,112821,　片山酒造　かたかた　純米吟醸７２０ｍｌ,G07106,G07106,G07106,1,0,0,112821000:G07106:0:1741
match,default,112825,　早瀬浦純米１．８Ｌ　営業部専用,E06103,E06103,E06103,1,0,0,112825000:E06103:0:9999
match,default,112838,　花垣純米　超辛口７２０ｍｌ,B14204,B14204,B14204,1,0,0,112838000:B14204:0:1370
match,default,112862,　福千歳ＲＩＣＥ　ＷＩＮＥ（らいすわいん）１．８Ｌ,E09203,E09203,E09203,1,0,0,112862000:E09203:0:1512
match,default,112885,　梵　ときしらず１．８Ｌ,C09103,C09103,C09103,1,0,0,112885000:C09103:0:1514
match,default,112886,　梵　ときしらず７２０ｍｌ,W04201,W04201,W04201,1,0,0,112886000:W04201:0:1514
match,default,112887,　梵純粋３００ｍｌ,W03201,W03201,W03201,1,0,0,112887000:W03201:0:1514
match,default,112889,　梵　超吟（紙箱入）７２０ｍｌ　※卸不可,AW0000,AW0000,AW0000,1,0,0,112889000:AW0000:0:1514
match,default,112890,　一乃谷　純米酒　大辛口＋１０　７２０ｍｌ,C07204,C07204,C07204,1,0,0,112890000:C07204:0:1572
match,default,112904,　華燭本醸造カップ１８０ｍｌ,G06412,G06412,G06412,1,0,0,112904000:G06412:0:1021
match,default,112951,　華の香越前上撰（華明りラベル）１．８Ｌ,W08103,W08103,W08103,1,0,0,112951000:W08103:0:1012
match,default,112956,　一本義　辛口純米酒１．８Ｌ,D06102,D06102,D06102,1,0,0,112956000:D06102:0:1202
match,default,112957,　一本義　辛口純米酒７２０ｍｌ,B04203,B04203,B04203,1,0,0,112957000:B04203:0:1202
match,default,112966,　永平寺白龍　ドラゴンウォーター７２０ｍｌ,G08401,G08401,G08401,1,0,0,112966000:G08401:0:1263
match,default,113022,　越後桜　大吟醸　稲穂の舞７２０ｍｌ,B15305,B15305,B15305,1,0,0,113022000:B15305:0:1290
match,default,113023,　手取川名流　大吟醸１．８Ｌ,W07101,W07101,W07101,1,0,0,113023000:W07101:0:1021
match,default,113024,　越後桜大吟醸　稲穂の舞１．８Ｌ,R04202,R04202,R04202,1,0,0,113024000:R04202:0:1290|113024900:R04202::
match,default,113061,　八海山普通酒１．８Ｌ,F02201,F02201,F02201,1,0,0,113061000:F02201:0:1589
match,default,113062,　八海山特別本醸造１．８Ｌ,H05114,H05114,H05114,1,0,0,113062000:H05114:0:1589
match,default,113067,　天狗舞　本醸造　天１．８Ｌ,E06113,E06113,E06113,1,0,0,113067000:E06113:0:1021
match,default,113069,　菊姫姫１．８Ｌ,W07113,W07113,W07113,1,0,0,113069000:W07113:0:1021
match,default,113074,　渓流甘口１．８Ｌ,F02204,F02204,F02204,1,0,0,113074000:F02204:0:1369
match,default,113086,　中村酒造　ハチバン　オリジナル　鼓１．８Ｌ,H08105,H08105,H08105,1,0,0,113086000:H08105:0:1743
match,default,113091,　八海山普通酒３００ｍｌ,YX0000,YX0000,YX0000,1,0,0,113091000:YX0000:0:9012
match,default,113138,　蓬莱吟醸　伝統辛口１．８Ｌ,H05101,H05101,H05101,1,0,0,113138000:H05101:0:1002
match,default,113164,　二東にっこりマッコリ３６０ｍｌ,G06203,G06203,G06203,1,0,0,113164000:G06203:0:1021|113164900:G06203::
match,default,113190,　農口尚彦研究所　純米　無濾過生原酒　１．８Ｌ’２４　（取扱店限定）,AW0000,AW0000,AW0000,1,0,0,113190000:AW0000:0:1816
match,default,113198,　農口尚彦研究所　本醸造　無濾過生原酒　１．８Ｌ’２４　（取扱店限定）,AW0000,AW0000,AW0000,1,0,0,113198000:AW0000:0:1816
match,default,113202,　菊姫にごり酒１．８Ｌ,AW0000,AW0000,AW0000,1,0,0,113202000:AW0000:0:1021
match,default,113244,　大七　本醸造生もと１．８Ｌ（箱無し）,F02103,F02103,F02103,1,0,0,113244000:F02103:0:1385
match,default,113247,　天狗舞　山廃純米大吟醸１．８Ｌ,I08101,I08101,I08101,1,0,0,113247000:I08101:0:1021
match,default,113337,　菊姫　原酒１．８Ｌ,H06113,H06113,H06113,1,0,0,113337000:H06113:0:1021
match,default,113339,　菊水菊水の辛口　３００ｍｌ,L19302,L19302,L19302,1,0,0,113339000:L19302:0:1330
match,default,113352,　国盛　とらじの唄３００ｍｌ,G06205,G06205,G06205,1,0,0,113352000:G06205:0:1202
match,default,113356,　天狗舞　山廃純米７２０ｍｌ,G05308,G05308,G05308,1,0,0,113356000:G05308:0:1021
match,default,113358,　手取川本流　純米大吟醸１．８Ｌ,W07110,W07110,W07110,1,0,0,113358000:W07110:0:1021
match,default,113396,　手取川酒魂　純米吟醸１．８Ｌ,H05210,H05210,H05210,1,0,0,113396000:H05210:0:1021
match,default,113401,　白瀧上善如水　純米吟醸７２０ｍｌ,E11208,E11208,E11208,1,0,0,113401000:E11208:0:1021
match,default,113402,　白瀧上善如水　純米吟醸３００ｍｌ,E07303,E07303,E07303,1,0,0,113402000:E07303:0:1021
match,default,113415,　手取川酒魂　純米吟醸７２０ｍｌ,E07204,E07204,E07204,1,0,0,113415000:E07204:0:1021
match,default,113475,　大七　純米生もと１．８Ｌ（箱無）,W06409,W06409,W06409,1,0,0,113475000:W06409:0:1385
match,default,113476,　二東マッコリ　ペット１Ｌ,AW0000,AW0000,AW0000,1,0,0,113476000:AW0000:0:1202
match,default,113490,　司牡丹船中八策　純米１．８Ｌ,W06408,W06408,W06408,1,0,0,113490000:W06408:0:1385
match,default,113536,　常きげん上撰１．８Ｌ,G06102,G06102,G06102,1,0,0,113536000:G06102:0:1021
