status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",37372,112418,112418,　雲乃井　純米吟醸　東雲７２０ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",42390,113588,113588,　手取川　本流１．８Ｌ　※石川県内限定,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",42483,151231,151231,　白山ワイナリー　梅ワイン　５００ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",46086,119738,119738,　花垣　純米大吟醸　廻めぐり７２０ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",48170,121077,121077,　２５°サッポロ焼酎　北極星４Ｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",51732,184036,184036,　スミノフアイス　ピンクグレープフルーツ２７５ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",21667,153883,153883,　ミシオネス　カベルネソービニヨン　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",21680,154037,154037,×チンザノ　ドライ　１Ｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",21714,154599,154599,　テール　デトワール　キュヴェ　ギョタク　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",25553,123485,123485,　２５°白鶴　本格麦焼酎　千夜一酔７２０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",25622,155510,155510,　ニコラフィアット　エクスクルーシブ　ブリュットロゼ　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",25628,155571,155571,　マルティーニ　ブリュット　３７５ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",25641,155661,155661,　グランクルタージュ　グランキュヴェ　ブランドブラン　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",27493,156122,156122,　フォルタン　シャルドネ　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",29575,156748,156748,×コニェット　ミュスカデセーヴルエメーヌ　７５０ｍｌ,7,0,7,0,7,,,0,7,,,7
