status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,14111,4,4,286413,286413,　プロトンダイニング　マルゲリータピザ１３１ｇ,0,0,0,4,-4,4,14111,,,
updated,,decrease,decrease,14303,7,7,147256,147256,　アサヒ　ザ・リッチ　５００ｍｌ,104,0,104,108,-4,4,14303,,,
updated,,decrease,decrease,14402,7,7,184882,184882,　キリン　麒麟特製　コーラサワー３５０ｍｌ,91,0,91,95,-4,4,14402,,,
updated,,decrease,decrease,14448,4,4,211119,211119,　ウィルキンソン　タンサン瓶１９０ｍｌ,83,0,83,87,-4,4,14448,,,
updated,,decrease,decrease,14454,4,4,211201,211201,　アサヒ　スタイルバランス　レモンサワーテイスト３５０ｍｌ,7,0,7,11,-4,4,14454,,,
updated,,decrease,decrease,14458,4,4,211212,211212,　ハタ鉱泉　ラムネですよ　ペット２５０ｇ,56,0,56,60,-4,4,14458,,,
updated,,decrease,decrease,14469,4,4,211289,211289,　ローヤル　さわやかメロン５００ｍｌ,17,0,17,21,-4,4,14469,,,
updated,,decrease,decrease,14481,4,4,222757,222757,　小倉秋一商店　炙りいわし４８ｇ,3,0,3,7,-4,4,14481,,,
updated,,decrease,decrease,14491,4,4,222822,222822,　伊藤ハム　おつまみドライ１３２ｇ,16,0,16,20,-4,4,14491,,,
updated,,decrease,decrease,14497,4,4,222874,222874,　泉屋製菓　ジャンボパック３３０ｇ,2,0,2,6,-4,4,14497,,,
updated,,decrease,decrease,14526,4,4,247031,247031,　キヨスミ製菓福豆太鼓黒糖１枚,17,0,17,21,-4,4,14526,,,
updated,,decrease,decrease,14593,4,4,287281,287281,　稲葉ピーナッツ　こだわりピスタチオ１１２ｇ（個包装）,8,0,8,12,-4,4,14593,,,
updated,,decrease,decrease,14601,4,4,287301,287301,　黒田米穀　福井県産　いちほまれ５Ｋｇ,13,0,13,17,-4,4,14601,,,
updated,,decrease,decrease,14607,4,4,287327,287327,　丸味食品　デカ盛り子持ちきくらげ４５０ｇ,6,0,6,10,-4,4,14607,,,
updated,,decrease,decrease,14633,4,4,287407,287407,　山田製菓　マヨネーズ味６５ｇ,0,0,0,4,-4,4,14633,,,
updated,,decrease,decrease,14795,7,7,129007,129007,　２５°量り売り芋焼酎１００ｍｌ,1295,0,1295,1299,-4,4,14795,,,
updated,,decrease,decrease,14961,7,7,159137,159137,　シャトー　ダイギルケール　７５０ｍｌ,10,0,10,14,-4,4,14961,,,
updated,,decrease,decrease,14998,7,7,185328,185328,　キリン　氷結　愛媛産　キウイ３５０ｍｌ,140,0,140,144,-4,4,14998,,,
updated,,decrease,decrease,15011,7,7,185370,185370,　サントリー　翠ジンソーダ　本格濃いめ３５０ｍｌ,0,0,0,4,-4,4,15011,,,
updated,,decrease,decrease,15012,7,7,185371,185371,　サントリー　翠ジンソーダ　本格濃いめ５００ｍｌ,110,0,110,114,-4,4,15012,,,
