item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf
111397,111397,×松竹梅　澪ブリュット　辛口スパークリング３００ｍｌ,,,,,,,single,M02305
112025,112025,×花垣上撰　本醸造１．８Ｌ,,,,,,,single,C07202
112150,112150,◎華明り生吟３００ｍｌ,,,,,,,single,AW1111
112246,112246,　真名鶴晩夏初秋ひやおろし７２０ｍｌ,,,,,,,single,Y00000
112381,112381,　梵　初雪　しぼりたて生原酒　山田錦７２０ｍｌ（純米大吟醸）　※卸不可,,,,,,,single,AWA000
112424,112424,×一本義搾りたて生原酒（初搾り）１．８Ｌ（営業専用）,,,,,,,single,Y00000
112467,112467,×リカーワールド華賈龍（こりゅう）１．８Ｌ,,,,,,,single,D13103
112888,112888,　黒龍　大吟醸７２０ｍｌ,51609,-42,-42,,,,single,I08111
112970,112970,　福千歳　山廃純米ひやおろし生詰７２０ｍｌ,,,,,,,single,Y00000
113017,113017,　天狗舞　舞１．８Ｌ,,,,,,,single,W06410
113755,113755,◎加藤酒造杜氏特醸　新潟一１．８Ｌ,51720,0,0,,,,single,H07103
114063,114063,　日本盛　晩酌　辛口２Ｌ,,,,,,,single,M01305
114117,114117,　黄桜辛口一献パック３Ｌ,,,,,,,single,K04205
114171,114171,　月桂冠　定番酒　月（つき）３Ｌ,,,,,,,single,Z01207
115010,115010,　一乃谷名水酒蔵パック１．８Ｌ,,,,,,,single,J07201
115011,115011,×一本義上撰　パック１．８Ｌ,,,,,,,single,K05303
116007,116007,×都鶴　伏見正宗２Ｌ,,,,,,,single,D12202
116097,116097,　越後厳冬酒越冬寒梅２Ｌ,,,,,,,single,B15204
118426,118426,　常きげん純米ひやおろし７２０ｍｌ,,,,,,,single,Y00000
118861,118861,　十代目純米原酒　ひやおろし７２０ｍｌ,,,,,,,single,Y00000
121004,121004,　２０°鏡月４Ｌペット,,,,,,,single,C06202
122044,122044,◎２５°奴国の鬼ころし（麦）５Ｌ,,,,,,,single,D06103
122089,122089,◎２５°伝説（麦）１．８Ｌ,,,,,,,single,K03211
122707,122707,　２５°スパイス焼酎　カルダモンＴＡＫＥ７　７００ｍｌ,,,,,,,single,F01109
122738,122738,×２０°甕雫　「極」１．８Ｌ（芋）,,,,,,,single,B06304
122950,122950,×２５°本格麦焼酎　はなやか１．８Ｌ,,,,,,,single,D17101
122992,122992,×２５°本格麦焼酎　はなやか７２０ｍｌ,,,,,,,single,P11203
123203,123203,　２５°やんや２．７Ｌ（麦）,,,,,,,single,G05201
123205,123205,　２５°とうと２．７Ｌ（芋）,,,,,,,single,G05206
123413,123413,　２５°勇者７２０ｍｌ（麦）,51950,0,0,,,,single,E09202
123636,123636,　９°一刻者ハイボール壜２８０ｍｌ,,,,,,,single,K07306
123770,123770,　２５°吟酒炙麦（ぎんしゅせきばく）１．８Ｌ（麦）,,,,,,,single,B14305
131027,131027,×キリン　富士山麓　樽熟　５０°　６００ｍｌ,,,,,,,single,J02108
131099,131099,　サントリー　山崎１０年　７００ｍｌ,,,,,,,single,J06311
131105,131105,　サントリー　大レッド　４Ｌ,,,,,,,single,K09105
131210,131210,×サントリー　角瓶ジャンボ　１．９２Ｌ,,,,,,,single,N02109
131211,131211,×サントリー　白角　７００ｍｌ,,,,,,,single,J06409
131306,131306,×サントリー　角瓶　黒　４３°ジャンボ　１．９２Ｌ,,,,,,,single,J02110
134008,134008,　ルイジャド　マールドブルゴーニュ　７００ｍｌ,,,,,,,single,E06402
134089,134089,　カミュ　ボルドリ　ＸＯ　７００ｍｌ,,,,,,,single,H06313
141001,141001,　キリン　秋味　中瓶５００ｍｌ,,,,,,,single,AA0010
141032,141032,×キリン　一番搾り　黒生　小瓶３３４ｍｌ,,,,,,,single,D05202
141034,141034,　キリン　秋味　大瓶６３３ｍｌ,,,,,,,single,AA0010
141047,141047,　キリン麒麟淡麗＜生＞　大瓶６３３ｍｌ,,,,,,,single,AA0003
141089,141089,×アサヒスーパードライ　ドライプレミアム中瓶５００ｍｌ,,,,,,,single,AA0006
141248,141248,×アサヒ　スーパードライ　ザ・クール　小瓶３３４ｍｌ,,,,,,,single,B01103
142001,142001,×アサヒスーパードライ　ドライプレミアム３５０ｍｌ,,,,,,,single,AD0000
142011,142011,×アサヒスーパードライ　ドライプレミアム５００ｍｌ,,,,,,,single,AE0000
